TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|400|0|53.26
6|400|15|58.20
12|400|30|63.14
16|400|38|66.59
19|400|45|68.08
22|400|60|72.98
25|400|66|76.00
29|400|75|77.96
32|400|90|82.86
100|319|90|72.55
104|304|90|70.64
107|301|90|70.25
110|300|90|70.12
188|299|90|70.00
191|222|90|60.16
194|203|90|57.73
196|201|90|57.47
199|200|90|57.35
280|149|90|50.83
283|108|90|45.59
285|105|90|45.21
287|103|90|44.95
290|100|90|44.57
369|122|90|47.38
372|184|90|55.30
375|200|90|57.35
464|267|90|65.91
467|300|90|70.12
553|317|90|72.30
556|392|90|81.88
560|400|90|82.90
691|335|90|74.60
694|268|90|66.04
697|202|90|57.60
699|153|90|51.34
702|105|90|45.21
704|52|87|37.80
706|18|65|27.19
708|12|55|22.55
710|3|44|18.34
712|1|30|14.25
713|0|15|9.35
715|0|10|6.71
716|0|0|3.68
