3,53.60,0,5,1,0,0,400,0|0|0|0|0|0,0.34|0.00|0.00|0.00|0.00|0.00
6,58.20,15,5,0,1,0,400,15|0|0|0|0|0,4.94|0.00|0.00|0.00|0.00|0.00
10,61.86,25,4,0,2,0,400,17|8|0|0|0|0,5.37|3.24|0.00|0.00|0.00|0.00
14,72.25,73,4,0,2,0,400,58|15|0|0|0|0,14.10|4.90|0.00|0.00|0.00|0.00
18,84.26,121,3,0,3,0,400,60|59|2|0|0|0,14.52|14.31|2.17|0.00|0.00|0.00
22,86.61,124,2,1,3,0,400,60|60|4|0|0|0,14.52|14.52|2.60|1.70|0.00|0.00
26,88.18,124,1,2,3,0,400,60|60|4|0|0|0,14.52|14.52|2.60|1.75|1.53|0.00
30,88.39,124,0,3,3,0,400,60|60|4|0|0|0,14.52|14.52|2.60|1.75|1.75|0.00
35,88.44,124,0,3,3,0,400,60|60|4|0|0|0,14.52|14.52|2.60|1.75|1.75|0.04
39,88.44,124,0,3,3,0,400,60|60|4|0|0|0,14.52|14.52|2.60|1.75|1.75|0.04
44,88.44,124,0,3,3,0,400,60|60|4|0|0|0,14.52|14.52|2.60|1.75|1.75|0.04
48,88.44,124,0,3,3,0,400,60|60|4|0|0|0,14.52|14.52|2.60|1.75|1.75|0.04
52,85.24,109,0,3,3,0,400,53|52|4|0|0|0,13.03|12.82|2.60|1.75|1.75|0.04
56,87.59,120,0,2,4,0,400,52|52|4|12|0|0,12.82|12.82|2.60|4.30|1.75|0.04
60,88.44,124,0,1,5,0,400,52|52|4|12|4|0,12.82|12.82|2.60|4.30|2.60|0.04
64,88.44,124,0,1,5,0,400,52|52|4|12|4|0,12.82|12.82|2.60|4.30|2.60|0.04
69,88.44,124,0,1,5,0,400,52|52|4|12|4|0,12.82|12.82|2.60|4.30|2.60|0.04
74,88.44,124,0,1,5,0,400,52|52|4|12|4|0,12.82|12.82|2.60|4.30|2.60|0.04
78,88.44,124,0,1,5,0,400,52|52|4|12|4|0,12.82|12.82|2.60|4.30|2.60|0.04
82,88.44,124,0,1,5,0,400,52|52|4|12|4|0,12.82|12.82|2.60|4.30|2.60|0.04
86,78.22,76,0,1,5,0,400,52|4|4|12|4|0,12.82|2.60|2.60|4.30|2.60|0.04
90,74.38,58,0,1,5,0,400,36|2|4|12|4|0,9.41|2.17|2.60|4.30|2.60|0.04
94,69.49,35,0,1,5,0,400,2|2|4|12|15|0,2.17|2.17|2.60|4.30|4.94|0.04
97,81.92,86,0,0,6,0,399,2|2|4|12|53|13,2.17|2.17|2.60|4.30|13.03|4.51
