TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
3|402|0|53.85
7|401|15|58.33
12|401|45|66.42
16|400|83|76.17
20|400|126|85.33
57|400|104|84.01
61|400|72|77.19
65|400|86|81.88
69|400|87|82.09
84|400|100|84.86
88|400|116|88.27
99|358|116|83.07
102|309|110|75.53
106|301|117|76.00
110|300|163|85.67
117|300|155|83.97
121|300|147|82.26
125|300|158|84.60
128|300|166|86.31
163|300|164|85.88
171|300|165|86.09
175|300|166|86.31
192|230|166|77.36
195|208|166|74.55
198|202|166|73.79
202|200|166|73.53
205|200|167|73.74
208|200|180|76.51
212|200|196|79.92
216|200|197|80.13
251|200|195|79.71
255|200|193|79.28
259|200|194|79.49
270|200|196|79.92
274|200|197|80.13
282|169|197|76.17
286|112|199|69.31
289|103|216|71.78
294|100|252|79.07
297|100|260|80.77
372|117|260|82.94
376|176|260|90.48
414|176|198|77.28
418|176|195|76.64
425|176|197|77.07
430|176|213|80.47
437|182|213|81.24
441|200|213|83.54
457|200|208|82.47
460|200|239|89.08
465|204|240|89.80
500|231|197|84.09
504|276|197|89.84
542|276|192|88.78
551|276|193|88.99
556|283|193|89.89
590|291|159|83.67
594|309|175|89.37
598|311|177|90.06
626|311|166|87.71
630|311|115|76.85
634|311|84|70.25
638|311|101|73.87
642|311|124|78.77
646|311|161|86.65
654|316|164|87.93
658|325|164|89.08
678|325|153|86.73
682|348|142|87.33
686|355|140|87.80
690|369|134|88.31
694|308|134|80.52
697|263|134|74.77
700|204|134|67.23
703|135|134|58.41
706|85|127|50.53
709|39|119|41.93
711|13|100|33.50
713|5|93|28.85
715|1|70|21.19
717|1|59|17.27
719|1|36|12.03
721|1|0|3.30
