TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
6|400|1|54.66
11|400|15|58.20
17|400|30|63.10
26|400|44|67.82
31|400|60|73.02
37|400|75|77.96
44|400|83|81.20
51|400|89|82.69
58|400|90|82.90
112|345|90|75.87
117|304|90|70.64
123|300|90|70.12
206|216|90|59.39
211|204|90|57.86
215|200|90|57.35
298|113|90|46.23
302|103|90|44.95
307|100|90|44.57
390|150|90|50.96
394|200|90|57.35
485|255|90|64.37
491|300|90|70.12
576|340|90|75.23
582|400|90|82.90
707|304|90|70.64
713|149|90|50.83
716|36|90|36.39
720|8|90|32.82
726|3|83|30.69
732|0|0|3.94
