TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
5|400|0|53.26
11|400|15|58.20
16|400|71|71.87
22|400|78|73.70
27|400|128|85.75
72|400|126|87.84
111|400|97|82.01
119|389|118|86.44
126|304|128|77.70
132|300|128|77.19
151|300|133|78.26
157|300|176|87.42
191|300|160|85.03
198|300|176|88.44
211|264|176|83.84
218|206|178|76.85
225|200|197|80.13
239|200|198|80.35
302|194|198|79.58
308|102|224|73.36
316|100|254|79.49
322|100|259|80.56
397|178|259|90.52
440|178|225|83.28
449|178|259|90.52
485|178|253|89.25
491|178|259|90.52
521|221|214|86.44
528|249|214|90.01
537|249|210|89.16
553|249|211|89.37
559|253|211|89.89
566|253|202|87.97
573|253|211|89.89
588|267|202|89.76
611|267|201|89.54
617|268|201|89.67
624|268|192|87.76
631|309|154|84.90
639|314|157|86.18
651|330|164|89.72
664|330|162|89.29
670|330|160|88.86
684|330|152|87.16
691|330|157|88.22
704|330|149|86.52
710|340|156|89.29
724|340|153|88.65
730|283|153|81.37
736|181|143|65.01
741|92|124|47.68
745|16|102|33.11
749|6|49|18.93
754|0|3|5.09
758|0|1|2.53
844|0|0|2.15
