TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
5|400|0|53.26
10|400|15|58.20
15|400|24|61.82
20|400|30|63.14
26|400|45|68.08
31|400|60|73.02
38|400|63|75.36
44|400|75|77.96
49|400|90|82.90
117|307|90|71.02
122|300|90|70.12
210|204|90|57.86
215|201|90|57.47
220|200|90|57.35
299|115|90|46.49
304|104|90|45.08
312|100|90|44.57
391|148|90|50.70
396|200|90|57.35
487|278|90|67.31
492|300|90|70.12
581|399|90|82.77
588|400|90|82.90
703|384|90|80.86
708|273|90|66.67
713|170|90|53.51
717|78|90|41.76
722|13|90|33.45
726|4|83|30.81
729|0|1|5.73
732|0|0|3.77
