TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
2|400|0|53.26
5|400|15|58.16
11|400|28|62.67
14|400|74|72.51
18|400|75|73.91
21|400|119|83.84
25|400|127|85.54
58|400|122|87.50
62|400|127|88.57
99|400|90|80.69
107|400|105|85.58
111|325|105|76.00
115|306|105|73.57
119|303|152|83.20
122|300|160|84.52
142|300|156|83.67
146|300|163|85.16
149|300|165|85.58
153|300|170|86.65
157|300|161|85.24
161|300|170|87.16
176|300|166|86.31
180|300|165|86.09
184|300|170|87.16
206|228|170|77.96
209|205|170|75.02
213|203|170|74.77
216|200|195|79.71
220|200|197|80.13
297|139|197|72.34
300|107|202|69.31
303|102|205|69.31
306|100|208|69.70
310|100|212|70.55
313|100|257|80.13
316|100|264|81.62
352|100|242|76.94
359|100|247|78.00
375|100|248|78.22
382|100|264|81.62
390|168|264|90.31
393|170|263|90.35
397|170|262|90.14
405|172|262|90.40
413|172|261|90.18
421|174|261|90.44
428|174|210|79.58
435|174|209|79.37
438|174|164|69.78
442|174|185|74.26
446|174|253|88.74
450|174|205|78.51
454|174|260|90.23
458|174|261|90.44
488|179|246|87.88
493|201|246|90.69
524|201|175|75.58
528|224|193|82.35
532|227|193|82.73
546|269|193|88.10
550|278|193|89.25
562|278|188|88.18
567|278|183|87.12
571|280|184|87.59
575|282|190|89.12
609|305|150|83.54
613|318|159|87.12
617|318|161|87.54
639|331|161|89.20
705|281|161|82.82
708|254|161|79.37
712|185|161|70.55
715|113|161|61.35
717|56|161|54.07
720|19|159|48.91
722|12|108|36.27
724|10|93|30.94
727|5|60|22.25
728|1|1|7.05
730|1|0|4.37
